<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
MIRZAINT,20201126,49,54.5,48.55,53.4,1178870,844089
MITTAL,20201126,12.95,14.25,12.95,14.15,95917,65295
MMFL,20201126,369.95,380,362.55,377.65,15988,9777
MMP,20201126,80,85,79,79.95,5907,5005
MMTC,20201126,17.95,19.15,17.75,18.9,1758359,718777
MODIRUBBER,20201126,29.95,30.3,28.5,30.3,384,0
MOHITIND,20201126,4.3,4.3,4.3,4.3,2968,2968
MOHOTAIND,20201126,8.4,8.4,7.8,7.95,7469,6666
MOIL,20201126,128.55,128.75,125.45,128.05,332030,165698
MOLDTECH,20201126,47.5,48.3,47.25,48.05,11676,0
MOLDTKPAC,20201126,283.1,299,281.8,284.85,23524,8507
MONTECARLO,20201126,221.4,242.45,217.95,233.4,206374,54997
MORARJEE,20201126,10.7,10.7,9.55,10.45,6788,4624
MOREPENLAB,20201126,29.35,30.45,29.25,29.55,4051228,1635957
MOTHERSUMI,20201126,142.65,146.3,142.4,143.2,14237997,6101504
MOTILALOFS,20201126,615,615,601.15,605.7,36319,19187
MOTOGENFIN,20201126,16.8,18.25,16.05,17.4,23616,16573
MPHASIS,20201126,1328.9,1339.15,1317,1325.25,225671,144911
MPSLTD,20201126,364.05,369.95,358,362.15,4614,3377
MRF,20201126,77000,77543.95,74305.25,75820.05,77903,13868
MRO-TEK,20201126,25.15,25.25,24.1,25.15,6184,5656
MRPL,20201126,29.8,29.85,29.25,29.35,1132298,348999
MSPL,20201126,7.25,7.45,6.95,7.35,11766,5570
MSTCLTD,20201126,149.5,153.65,147.4,152.5,266394,120369
MTEDUCARE,20201126,9.3,9.45,9.15,9.4,44573,36852
MTNL,20201126,9.6,9.7,9.5,9.6,475280,264977
MUKANDENGG,20201126,11.5,11.9,11,11.8,9890,9250
MUKANDLTD,20201126,48.1,51.15,47.75,50.5,21649,13489
MUKTAARTS,20201126,27.45,27.9,27.15,27.8,3378,2064
MUNJALAU,20201126,57.75,61.95,57.4,60.15,2897182,837029
MUNJALSHOW,20201126,135,150.5,135,146.1,1047246,218307
MURUDCERA,20201126,18.2,18.2,17.65,17.95,59556,42376
MUTHOOTCAP,20201126,453,453.3,443.05,448.35,13494,8358
MUTHOOTFIN,20201126,1122,1136,1108.65,1132,2860035,790096
N100,20201126,893.9,893.9,878.51,885.93,17301,8999
NACLIND,20201126,39.45,40.3,39.4,39.8,30897,26622
NAGAFERT,20201126,5.25,5.75,5.25,5.7,308206,0
NAGREEKEXP,20201126,14.4,15.5,14.4,15,9111,3606
NAHARCAP,20201126,70.1,70.8,69.95,70.8,2536,2526
NAHARINDUS,20201126,27.6,28.25,26,27.15,10571,6452
NAHARPOLY,20201126,85.9,87.85,83,85.7,115793,69524
NAHARSPING,20201126,42.15,44.85,42.1,44.6,28720,22940
NAM-INDIA,20201126,293.45,295.75,289.25,290.4,464410,234840
NATCOPHARM,20201126,890.6,912,878,899.8,405164,230188
NATHBIOGEN,20201126,264,282.35,260.3,278.15,123659,49052
NATIONALUM,20201126,35.95,38.15,35.5,37.7,26513634,14508291
NATNLSTEEL,20201126,4.3,4.3,3.9,4.2,54204,38900
NAUKRI,20201126,4035,4196.95,4010.95,4179.5,475718,64282
NAVINFLUOR,20201126,2620,2644.45,2517.05,2523,101304,60352
NAVKARCORP,20201126,30.6,32.35,29.45,31.15,2349713,867466
NAVNETEDUL,20201126,80.25,82,80.1,80.6,45174,27673
NBCC,20201126,25.3,25.75,25.1,25.55,5229496,1677060
NBIFIN,20201126,1738,1752,1700,1749.7,272,244
NBVENTURES,20201126,53.7,55.55,53,55,1986542,911730
NCC,20201126,42.6,43.05,41.85,42.45,4942936,1253126
NCLIND,20201126,141.5,142.95,140.1,141.8,214588,116096
NCPSESDL24,20201126,123.26,123.26,102.69,102.73,10243,10000
NDGL,20201126,650,672.9,611.05,653.85,457,130
NDL,20201126,20.7,20.7,20,20.45,38456,26686
NDRAUTO,20201126,160,162,157,160.65,4843,2251
NDTV,20201126,43.55,43.55,41,42.35,99463,68289
NECCLTD,20201126,9.3,9.3,8.8,8.85,16750,12093
NECLIFE,20201126,18.4,18.45,18.15,18.2,127404,81119
NELCAST,20201126,59.2,61.9,59.05,60.25,154743,70993
NELCO,20201126,188,189,185.2,186.1,25774,12675
NEOGEN,20201126,620.4,639,617.75,622.15,28098,15366
NESCO,20201126,513,525.9,512.6,517.75,91853,41601
NESTLEIND,20201126,17599,17839,17280,17741.95,145376,55190
NETF,20201126,138.9,138.9,135.15,138.25,406,372
NETFCONSUM,20201126,58.6,59.45,57.26,57.59,647,504
NETFDIVOPP,20201126,30.5,31.4,29.77,31,819,668
NETFIT,20201126,22.2,22.2,21.7,22.02,287713,184160
NETFLTGILT,20201126,22.31,22.38,22.31,22.37,19368,10666
NETFMID150,20201126,72.7,73.45,72.43,73.21,203605,87630
NETFNIF100,20201126,129,133.24,127.5,132.44,220,202
NETFNV20,20201126,67.02,67.65,66.35,67.13,4533,4257
NETWORK18,20201126,34.2,34.95,33.9,34.15,582838,263757
NEULANDLAB,20201126,1032,1050.9,981.7,998.95,216102,114241
NEWGEN,20201126,268.55,272,265.05,267.6,39647,15587
NEXTMEDIA,20201126,4.3,4.65,4.25,4.65,3988,2278
NFL,20201126,33.6,34.3,33.3,33.95,507372,158826
NH,20201126,377,380,370,374.55,38916,19486
NHPC,20201126,20.95,21.4,20.7,21.15,7035096,2677052
NIACL,20201126,117.15,119.75,116.6,118.2,372147,168418
NIBL,20201126,8.2,8.45,7.65,8.35,15406,12267
